comment,clean_comment,actual,predicted,dept_category,comment_length,positive_word_count,negative_word_count,primary_aspect,is_error,error_type
"Very very smart. Basically knows everything about history and can answer any question. Doesn\'t give quizzes and assigned homework, so if you bomb a paper or test then you are done for. Participate in class because he likes that a lot. He will grade you on that and he will call on you even if you arent raising your hand. He\'s pretty funny too",very very smart basically knows everything about history and can answer any question doesn t give quizzes and assigned homework so if you bomb a paper or test then you are done for participate in class because he likes that a lot he will grade you on that and he will call on you even if you arent raising your hand he s pretty funny too,positive,negative,History,66,0,0,lectures,True,positive → negative
"She knows the history very well. Overall shes an alright person but at times she comes off as tough, rude and strict. But still her class is helpfull and you will learn alot.",she knows the history very well overall shes an alright person but at times she comes off as tough rude and strict but still her class is helpfull and you will learn alot,positive,neutral,History,33,0,0,professor,True,positive → neutral
dr wilson is interesting.. he talks to himself a lot and his lectures are boring but if you show up its super easy. you can turn in hw whenever and all tests are take home tests! the final is super easy and you practically do it in groups.,dr wilson is interesting he talks to himself a lot and his lectures are boring but if you show up its super easy you can turn in hw whenever and all tests are take home tests the final is super easy and you practically do it in groups,neutral,positive,Mathematics,48,0,1,professor,True,neutral → positive
"I hated Ms. Morris\'s way of teaching!! The whole semester all we did was go through powerpoint slides.. The tests commonly didn\'t match what we had gone through in class, and the labs were really just 3 hour long lectures.",i hated ms morris s way of teaching the whole semester all we did was go through powerpoint slides the tests commonly didn t match what we had gone through in class and the labs were really just hour long lectures,neutral,negative,Biology,41,0,0,exams,True,neutral → negative
"Most interesting class with up to date topics. All work was clear, lots of films and group projects . Never boring!",most interesting class with up to date topics all work was clear lots of films and group projects never boring,positive,neutral,English,20,1,1,workload,True,positive → neutral
"Eleanor intimidated the hell out of me when I first had her. She\'s smart, can defend her views, and expects the same out of you. Beware the eyebrow of death. Once I got to know her she was charming, warm, and blindingly intelligent. Though she focuses on race, I never felt I was evil for being white or that I was graded down for disagreeing.",eleanor intimidated the hell out of me when i first had her she s smart can defend her views and expects the same out of you beware the eyebrow of death once i got to know her she was charming warm and blindingly intelligent though she focuses on race i never felt i was evil for being white or that i was graded down for disagreeing,positive,negative,English,66,0,0,grading,True,positive → negative
"Hard grader, but her comments are very helpful. Very friendly and approachable. Lots of reading and critical analysis of the text. Took the class during summer and had to write 3 papers, no midterms, and a fairly difficult final. Lots of in-class writing. I would recommend her if you want to improve your writing and analysis skills",hard grader but her comments are very helpful very friendly and approachable lots of reading and critical analysis of the text took the class during summer and had to write papers no midterms and a fairly difficult final lots of in class writing i would recommend her if you want to improve your writing and analysis skills,positive,neutral,English,57,1,2,professor,True,positive → neutral
"Dr. Barden is one of the nicest people you will ever meet, and his sense of humor is hilarious! All of the exams are based on the Powerpoint slides from lectures, and he provides study guides and practice exams. Just attending the lectures will probably earn you a high grade and the lectures are, for the most part, interesting.",dr barden is one of the nicest people you will ever meet and his sense of humor is hilarious all of the exams are based on the powerpoint slides from lectures and he provides study guides and practice exams just attending the lectures will probably earn you a high grade and the lectures are for the most part interesting,positive,neutral,Biology,59,0,0,attendance,True,positive → neutral
"Rohy is quirky for sure, but she is able to break down the most complicated material to anyone. Also, she encourages adventurous essay topics; the more outlandish the better. The readings can be boring at times, but her lectures never have an agenda. In other words the students lead the discussion and she is there to help out when needed.",rohy is quirky for sure but she is able to break down the most complicated material to anyone also she encourages adventurous essay topics the more outlandish the better the readings can be boring at times but her lectures never have an agenda in other words the students lead the discussion and she is there to help out when needed,positive,neutral,English,60,0,1,professor,True,positive → neutral
Lectures and important facts in seaport are a must read. The book isn\'t very well written but you will need it for some of the tests. This Class is straight forward weekly quizzes a midterm with essay and a Final. I highly recommend Professor Warwick I like his straight forward approach.,lectures and important facts in seaport are a must read the book isn t very well written but you will need it for some of the tests this class is straight forward weekly quizzes a midterm with essay and a final i highly recommend professor warwick i like his straight forward approach,positive,neutral,Biology,52,0,0,professor,True,positive → neutral
