professor_name,school_name,department_name,state_name,star_rating,diff_index,would_take_agains,post_date,student_star,student_difficult,grades,tag_professor,gives_good_feedback,caring,respected,participation_matters,clear_grading_criteria,skip_class,amazing_lectures,inspirational,tough_grader,get_ready_to_read,lots_of_homework,accessible_outside_class,lecture_heavy,extra_credit,graded_by_few_things,group_projects,test_heavy,so_many_papers,beware_of_pop_quizzes,IsCourseOnline,comments,sentiment,dept_category,word_count,grade_numeric,clean_comments,entities,person_mentions,has_person_mention,aspects,aspect_opinion_pairs,primary_aspect,num_aspects,comment_length,avg_word_length,exclamation_count,question_count,uppercase_ratio,positive_word_count,negative_word_count,sentiment_word_ratio,kmeans_cluster,dbscan_cluster,agg_cluster,cluster_name
Sheng  Zhang,Wayne State University,Mathematics department, MI,3.0,2.4,0,04/09/2007,2.5,1.0,,Clear grading criteria (4)  Tough Grader (4)  Respected (3)  Caring (2)  Skip class? You won\'t pass. (2)  Inspirational (1)  LOTS OF HOMEWORK (1)  Gives good feedback (1)  BEWARE OF POP QUIZZES (1),1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,"He seems to know his stuff. However, he wastes way too much time trying to prove EVERYTHING! This caused our section to fall behind. To catch up to the others for the final, he had to cover the last chapter with very little depth. He\'s a very easy grader, and overall, the class is extremely easy. Homework is optional.",negative,Mathematics,59,3.7,he seems to know his stuff however he wastes way too much time trying to prove everything this caused our section to fall behind to catch up to the others for the final he had to cover the last chapter with very little depth he s a very easy grader and overall the class is extremely easy homework is optional,"[('He\\', 'ORG')]",[],0,"['lectures', 'professor', 'workload', 'exams']","[('workload', 'easy')]",lectures,4,60,4.166666666666667,1,0,0.05,0,0,0.0,3,0,4,Math & STEM Courses
Laura  Orella,De Anza College,English department, CA,2.2,3.1,0,04/12/2005,1.5,5.0,,Tough Grader (2)  LOTS OF HOMEWORK (1)  GRADED BY FEW THINGS (1)  GROUP PROJECTS (1),0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,"This is an online class in which she requires one hour of class ""chat"" weekly between 10 - 11 pm, which makes up 200 points of your grade, and two group ""presentations"" you\'re supposed to post online. Definitely wouldn\'t suggest taking this class unless you like doing an excessive amount of work.",negative,English,52,3.7,this is an online class in which she requires one hour of class chat weekly between pm which makes up points of your grade and two group presentations you re supposed to post online definitely wouldn t suggest taking this class unless you like doing an excessive amount of work,"[('one hour', 'TIME'), ('weekly', 'DATE'), ('10 - 11 pm', 'TIME'), ('200', 'CARDINAL'), ('two', 'CARDINAL')]",[],0,"['grading', 'professor', 'workload', 'lectures']","[('lectures', 'online')]",grading,4,50,4.56,0,0,0.006688963210702341,0,0,0.0,3,0,4,Math & STEM Courses
Daniel  Kurylo,Brooklyn College,Psychology department, NY,3.3,3.8,0,01/10/2013,2.0,5.0,,Skip class? You won\'t pass. (7)  Hilarious (5)  Tough Grader (4)  Clear grading criteria (3)  Amazing lectures (2)  LECTURE HEAVY (2)  Respected (2)  Participation matters (1)  ACCESSIBLE OUTSIDE CLASS (1)  Get ready to read (1)  TEST HEAVY (1)  Gives good feedback (1),1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,"Good luck if you have this professor - he is knowledgable but his class is so boring. I got an A, but by writing everything he said, even his boring stories because it will be on the test. Read the book because you will be teaching yourself. Only thing good about his class is that he curves the tests, because everyone fails. Do your best.",negative,Psychology,65,3.7,good luck if you have this professor he is knowledgable but his class is so boring i got an a but by writing everything he said even his boring stories because it will be on the test read the book because you will be teaching yourself only thing good about his class is that he curves the tests because everyone fails do your best,[],[],0,"['professor', 'exams', 'lectures']",[],professor,3,64,4.171875,0,0,0.01764705882352941,2,1,0.015384615384615385,0,0,4,Exam & Test Difficulty
P  Lawson,Volunteer State Community College,Psychology department, TN,2.7,3.3,0,06/06/2009,1.0,3.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"she\'s a sweet woman, but man...her lectures were based on opinion. and the actual work was online. its not fair because if we wanted an online course we would have taken one...but oh well. overall, dont take her unless you want to be FORCED into hearing her VERY BIASED opinion, watching boring films from the 80\'s and doing EVERYTHING online.",negative,Psychology,60,3.7,she s a sweet woman but man her lectures were based on opinion and the actual work was online its not fair because if we wanted an online course we would have taken one but oh well overall dont take her unless you want to be forced into hearing her very biased opinion watching boring films from the s and doing everything online,[],[],0,"['professor', 'workload', 'lectures']","[('workload', 'actual')]",professor,3,63,4.238095238095238,0,0,0.07536231884057971,0,1,-0.015625,3,0,4,Math & STEM Courses
Wayne  Hawthorn,University of Waterloo,Biology department, ON,4.5,2.1,0,12/17/2004,3.5,2.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"if you\'re interested in plants, agriculture, pigs, cows and chickens, then take this course. assignments are long but marked pretty easily. no midterm, exam is not bad. interesting, but can sometimes completely lose you.",neutral,Biology,34,3.7,if you re interested in plants agriculture pigs cows and chickens then take this course assignments are long but marked pretty easily no midterm exam is not bad interesting but can sometimes completely lose you,[],[],0,"['grading', 'workload', 'exams']",[],grading,3,35,5.0285714285714285,0,0,0.0,0,1,-0.027777777777777776,3,0,4,Math & STEM Courses
Brennda  Young,Georgia State University Perimeter College - Decatur,English department, GA,4.1,3.1,0,05/17/2009,5.0,1.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ms Young is a great teacher. If your a slacker don\'t waste your time, but if you like writing, honest critiques and good conversations, she\'s great! Take her. You will learn about literary culture and how to improve your writing.",positive,English,40,3.7,ms young is a great teacher if your a slacker don t waste your time but if you like writing honest critiques and good conversations she s great take her you will learn about literary culture and how to improve your writing,"[('Ms Young', 'PERSON'), ('she\\', 'PERSON')]","['Ms Young', 'she\\']",1,['professor'],"[('professor', 'great')]",professor,1,42,4.309523809523809,1,0,0.021645021645021644,2,1,0.023255813953488372,4,0,1,Workload & Assignments
David  Rayson,Normandale Community College,History department, MN,4.7,1.9,1,12/16/2015,4.0,1.0,A,EXTRA CREDIT (11)  Caring (11)  Respected (9)  Gives good feedback (8)  SO MANY PAPERS (6)  Amazing lectures (6)  Hilarious (6)  Inspirational (6)  Get ready to read (5)  LOTS OF HOMEWORK (4)  LECTURE HEAVY (3)  Clear grading criteria (2)  Tough Grader (1)  ACCESSIBLE OUTSIDE CLASS (1),1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,Super funny and nice guy. His class is pretty easy and you can retake your assignments.,positive,History,16,4.0,super funny and nice guy his class is pretty easy and you can retake your assignments,[],[],0,"['workload', 'lectures']",[],workload,2,16,4.375,0,0,0.022988505747126436,0,0,0.0,2,0,1,Teaching Style & Clarity
Tyra  Seldon,Anderson University,English department, IN,2.4,3.8,0,05/19/2005,1.0,5.0,,Respected (1)  Get ready to read (1)  Gives good feedback (1),1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Hasn\'t mastered basice grammar and spelling herself. Unbelievable that she was hired. Unfair grading and very defensive personality. Avoid this professor.,negative,English,21,3.7,hasn t mastered basice grammar and spelling herself unbelievable that she was hired unfair grading and very defensive personality avoid this professor,[],[],0,"['grading', 'professor']","[('grading', 'unfair')]",grading,2,22,5.863636363636363,0,0,0.025806451612903226,0,1,-0.043478260869565216,1,0,1,General Professor Praise
Bonnie  Johnson,Fashion Institute of Technology,Mathematics department, NY,2.2,4.5,0,07/30/2007,3.5,5.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"This class is not easy at all but not because of her. No matter what professor you have its hard. Youre going to have to do more work than youre used to but shes nice, and she has plenty of office hours for extra help. She will reexplain if you need during class. Study for 15 min everyday and you can\'t fail. This is coming from someone who got a C",neutral,Mathematics,71,3.7,this class is not easy at all but not because of her no matter what professor you have its hard youre going to have to do more work than youre used to but shes nice and she has plenty of office hours for extra help she will reexplain if you need during class study for min everyday and you can t fail this is coming from someone who got a c,"[('15', 'CARDINAL')]",[],0,"['professor', 'workload', 'lectures']","[('workload', 'more')]",professor,3,71,3.8028169014084505,0,0,0.02,0,1,-0.013888888888888888,2,0,1,Teaching Style & Clarity
Michelle  Burnham,Santa Clara University,English department, CA,3.5,3.6,0,11/12/2012,2.0,4.0,,Tough Grader (2),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"She is good intentioned, but she has pretty unclear assignments and doesn\'t grade easily. She is smart but the in class discussions are boring. I wouldn\'t recommend her for ENGL 14.",negative,English,31,3.7,she is good intentioned but she has pretty unclear assignments and doesn t grade easily she is smart but the in class discussions are boring i wouldn t recommend her for engl,"[('ENGL', 'ORG'), ('14', 'CARDINAL')]",[],0,"['grading', 'professor', 'workload', 'lectures']","[('workload', 'unclear')]",grading,4,32,4.46875,0,0,0.03825136612021858,1,1,0.0,3,0,1,Math & STEM Courses
